,Average Daily Returns,Beta Alpha,Sharpe Ratio,Piotroski F-Score,Revenue Growth,Earning per Share,Price to Earning,Debt to Equity,Free Cash Flow,Return on Equity,Dividend Yield
RMKO.JK,-0.005509873823854123,,-2.7,{},,,0.0,0.0,,,0.0
ROCK.JK,-0.0006747577545608966,,-0.22,{},,,0.0,0.0,,,
RODA.JK,0.0005027969339285572,"{'beta': array([0.051]), 'alpha': array([0.])}",0.24,"{'op_revenue_v_net_income_margin': 241322638740.0, 'lt_debt_decreased_percent': 44.8232591698358, 'current_ratio': 0.4406511744741065}",-77.57341927444965,-9.357647342516872,-5.343223373339029,0.49753583522607975,,-6.147503065692022,
RONY.JK,0.002187332324090888,"{'beta': array([0.283]), 'alpha': array([0.002])}",0.58,{},,,0.0,0.0,,,0.0
ROTI.JK,5.841553078097099e-05,"{'beta': array([0.083]), 'alpha': array([0.])}",0.06,"{'net_income': 215050714497.0, 'roa': 0.04830248513610106, 'op_revenue_v_net_income_margin': 2996983831535.0, 'lt_debt_decreased_percent': 1.7256325534165988, 'current_ratio': 0.2707827549583844, 'percent_shares_outstanding': 2.043371661244366}",-2.2991895958086848,37.70682864042442,32.487484208277124,0.19615977897751333,,6.623979283655089,23.23845714285714
RSCH.JK,0.002346531726808354,,0.85,{},,,0.0,0.0,,,0.0
RSGK.JK,-0.0007351367228277153,,-0.59,"{'net_income': 19989475975.0, 'roa': 0.026519613698356814, 'op_revenue_v_net_income_margin': 274927463567.0, 'current_ratio': 0.34887959943104024}",-32.23354753063546,21.501573994124193,53.48445654789107,0.0,,4.114479884952545,0.0
RUIS.JK,0.0008368872815014023,"{'beta': array([-0.096]), 'alpha': array([0.001])}",0.35,"{'net_income': 27541932779.0, 'roa': 0.020460378893802877, 'op_revenue_v_net_income_margin': 1588848218778.0, 'current_ratio': 0.6583294264495864}",-1.7772240219808129,35.768743868831166,5.228028154574126,1.447145550816135,,5.988437771869951,65.50802139037432
RUNS.JK,-0.0018574009211759074,,-0.71,{},,,0.0,0.0,,,0.0
SAFE.JK,0.0013439041745520277,"{'beta': array([0.012]), 'alpha': array([0.001])}",0.49,{'op_revenue_v_net_income_margin': 161551169031.0},-10.61497319312591,-28.59458538349487,-8.323254098916797,-2.5817402915201315,,25.699059675305662,0.0
SAGE.JK,-0.0024468112186033773,,-0.57,"{'net_income': 11702943031.0, 'roa': 0.043401742017865785, 'op_revenue_v_net_income_margin': 23907005703.0, 'lt_debt_decreased_percent': 13.601802309208674, 'current_ratio': 0.5262089096374456}",-26.960909148496725,0.6073995287795011,82.31814091207677,0.12983866473585123,,4.4401741882853045,0.0
SAME.JK,0.002711521090673433,"{'beta': array([0.065]), 'alpha': array([0.003])}",1.17,"{'op_revenue_v_net_income_margin': 1004459318745.0, 'current_ratio': 0.48638661073933986, 'percent_shares_outstanding': 50.744393053698936}",-35.763875048807634,-10.948687696934133,-27.217873799016697,0.6869922747238191,,-13.695816496023689,2.268104026845638
SAMF.JK,0.0017274702652445668,"{'beta': array([0.041]), 'alpha': array([0.002])}",0.65,"{'net_income': 113829452154.0, 'roa': 0.08481623576321579, 'op_revenue_v_net_income_margin': 1295396729366.0, 'current_ratio': 0.41599890572535386}",-23.922758141980637,22.21062397845077,34.6680940052414,1.14954639233598,,14.978104755729829,3.6000000000000005
SAPX.JK,-0.0001664595241103218,"{'beta': array([-0.03]), 'alpha': array([-0.])}",-0.07,{},,,0.0,0.0,,,3.103448275862069
SATU.JK,0.0017533586467878616,"{'beta': array([0.036]), 'alpha': array([0.002])}",0.76,{},,,0.0,0.0,,,0.0
SBAT.JK,-0.002657759488918262,"{'beta': array([-0.062]), 'alpha': array([-0.003])}",-0.8,{},,,0.0,0.0,,,0.0
SBMA.JK,0.00028432264784712896,,0.1,{},,,0.0,0.0,,,0.0
SCCO.JK,-0.000612540398803195,"{'beta': array([0.181]), 'alpha': array([-0.001])}",-0.33,"{'net_income': 237881695219.0, 'roa': 0.06355960371419374, 'op_revenue_v_net_income_margin': 4382854664328.0, 'current_ratio': 0.12523215865903706}",-7.971650826223847,289.2762437046019,8.365705973668595,0.0,,7.23304034096341,133.4710743801653
SCMA.JK,-3.304801966890127e-05,"{'beta': array([0.016]), 'alpha': array([-0.])}",-0.02,"{'net_income': 1148342286000.0, 'roa': 0.1696998172085946, 'op_revenue_v_net_income_margin': 3952770973000.0, 'current_ratio': 0.4241699247735718}",-13.981641297020039,18.167845797559767,8.421471742156154,0.00424390621182275,,35.09384771877021,1096.1830065359477
SCNP.JK,0.0005717623150216988,,0.24,{},,,0.0,0.0,,,0.0
SCPI.JK,0.0,"{'beta': array([0.]), 'alpha': array([0.])}",,{},,,0.0,0.0,,,0.0
SDMU.JK,0.0010507994131014238,"{'beta': array([-0.021]), 'alpha': array([0.001])}",0.34,"{'op_revenue_v_net_income_margin': 131454154403.0, 'current_ratio': 0.9563340867565765}",7.730555808945236,-37.38892389355858,-1.337294438918422,22.81654171626808,,-679.2762263757576,15.64
SDPC.JK,0.0013574373509824184,"{'beta': array([0.142]), 'alpha': array([0.001])}",0.47,"{'net_income': 2804331066.0, 'roa': 0.0024075097007566497, 'op_revenue_v_net_income_margin': 2640822174346.0, 'current_ratio': 0.8032355108353118}",-11.550336300335946,2.2012017786499216,65.87310686661986,3.265859886955188,,1.2235488786503586,9.935744827586207
SDRA.JK,7.705722602669289e-05,"{'beta': array([-0.059]), 'alpha': array([0.])}",0.05,"{'net_income': 536001000000.0, 'roa': 0.014085296137148904, 'op_revenue_v_net_income_margin': 926284000000.0, 'current_ratio': 0.8089298718852732, 'percent_shares_outstanding': 7.021757558632383}",-14.403514040180362,62.556794928049435,8.951865271296136,1.6612534254277729,-4865238000000.0,7.371793946090556,26.011333928571435
SEMA.JK,-0.0003622114876964316,,-0.14,{},,,0.0,0.0,,,0.0
SFAN.JK,0.0007848278965021585,"{'beta': array([-0.018]), 'alpha': array([0.001])}",1.28,"{'net_income': 7284525397.0, 'roa': 0.029782273053586068, 'op_revenue_v_net_income_margin': 12013561772.0, 'current_ratio': 0.22573511542978736, 'percent_shares_outstanding': 9.113000931388568}",63.78205693659591,5.356544441776203,341.638162418229,0.021124936579033707,,3.912019375500374,0.0
SGER.JK,0.005306838077892518,,1.55,"{'net_income': 199879339667.0, 'roa': 0.1615729013943096, 'op_revenue_v_net_income_margin': 3724620359988.0, 'lt_debt_decreased_percent': 38.14204785091291, 'current_ratio': 0.6490280199022492, 'percent_shares_outstanding': 2.8806690665125294}",-62.44093617667982,45.798294681024394,48.03672309902678,1.0968192826662138,,49.77818352690974,0.4350649545454546
SGRO.JK,0.00010864266359653614,"{'beta': array([0.048]), 'alpha': array([0.])}",0.1,"{'op_revenue_v_net_income_margin': 3703648000000.0, 'current_ratio': 0.6104483677247483}",-32.93705184958806,-110.75485613038711,-17.96760945323477,0.8444644888635028,,-5.56061529219588,34.83919597989949
SHID.JK,0.00020079013558838376,"{'beta': array([0.041]), 'alpha': array([0.])}",0.07,"{'op_revenue_v_net_income_margin': 107553674466.0, 'lt_debt_decreased_percent': 10.001369217400905, 'current_ratio': 0.3844772950870387, 'percent_shares_outstanding': 2.4344727272225244}",-19.880154166304866,-46.39586485218701,-28.774116060842665,0.5170981842064453,,-5.9418805143355895,0.50187265917603
SHIP.JK,0.0013783360853900468,"{'beta': array([-0.158]), 'alpha': array([0.001])}",0.66,"{'net_income': 16934217.0, 'roa': 0.05748911343145887, 'op_revenue_v_net_income_margin': 68783317.0, 'lt_debt_decreased_percent': 13.277924180033526, 'current_ratio': 0.5419917217823833}",-15.477569219571258,0.006226295597048431,188715.74304262194,2.359045141144172,,17.320112749277584,5.787234042553192
SICO.JK,-0.0009065672416601406,,-0.29,{},,,0.0,0.0,,,0.0
SIDO.JK,-5.985702635733516e-05,"{'beta': array([0.023]), 'alpha': array([-0.])}",-0.05,"{'net_income': 934016000000.0, 'roa': 0.242632060757768, 'op_revenue_v_net_income_margin': 2401395000000.0, 'current_ratio': 0.1630792026841816, 'percent_shares_outstanding': 0.19177863885585708}",-17.049798805266377,31.133865603964054,19.592812783335617,0.002914890697646267,,28.99110509778433,32.71544715447155
