,Average Daily Returns,beta,alpha,Sharpe Ratio,net_income,operating_cashflow,roa,op_revenue_v_net_income_margin,current_ratio,Revenue Growth,Earning per Share,Price to Earning,Debt to Equity,Free Cash Flow,Return on Equity,Dividend Yield,lt_debt_decreased_percent,percent_shares_outstanding,gross_margin
ARKO.JK,0.003334810870083963,,,1.56,,,,74722603762.0,0.7846640134133431,-73.74201611670668,-7.726990501712035,-134.59315108120967,4.555727268388358,,-18.786472581297346,0.0,,,
ARMY.JK,0.0,[0.],[0.],,21619390622.0,,0.0124001686704652,44454743495.0,0.15521865354242026,,,0.0,0.0,,1.4678554069005911,0.0,,,
ARNA.JK,0.0007930252013955145,[-0.029],[0.001],0.73,323013050227.0,,0.16393769743483755,1888730542909.0,0.33770899439867835,-13.430660441213654,44.63614820381778,15.682356748249353,0.13471711970805292,,25.156045491753854,34.45535714285714,,,
ARTA.JK,0.0031582388575804514,[-0.141],[0.003],1.14,,,,,,,,0.0,0.0,,,3.7686567164179103,,,
ARTI.JK,-0.0025608817242834996,[0.067],[-0.003],-1.67,,,,794405395089.0,0.9657147765524139,445.8091804833057,-485.7146998380102,-0.006176465322133599,0.5284489733431219,,-2656.2844443948516,14.545733333333333,,,
ARTO.JK,0.0017599344452161358,[-0.005],[0.002],0.63,,,,255620000000.0,0.4346766990554037,-89.15866528796757,-13.681023973234197,-195.16083044833752,0.12108010166732532,-125734000000.0,-15.382773974242353,0.0,,23.437366350308157,
ASBI.JK,0.0015668772127960917,[-0.049],[0.002],0.66,,,,,,,,0.0,0.0,,,23.6665276433121,,,
ASDM.JK,0.00018158825947177016,[0.004],[0.],0.18,26804614000.0,,0.03120034343057683,179354388000.0,0.5874702921864438,2.817252231939648,69.80368229166666,7.306204819811993,0.013741887511850803,,7.563174927677668,99.8529411764706,,,
ASGR.JK,0.0004065760078462194,[-0.017],[0.],0.48,47783000000.0,,0.020876595956625894,3301088000000.0,0.31721564414323294,1.5084697213335132,35.426829331945505,24.134251247514808,0.019610000944474376,,3.0575758235035906,113.33333333333333,,,
ASHA.JK,-0.0010487944392329734,,,-0.32,,,,,,,,0.0,0.0,,,0.0,,,
ASII.JK,0.0002898677105266203,[0.049],[0.],0.25,16164000000000.0,,0.04779378065836199,158882000000000.0,0.42208082128189284,-25.029016853331047,399.27280835671615,12.898449111012125,0.599439822247896,,10.384037208824246,67.29184466019417,,,
ASJT.JK,0.0006087831766645673,[0.027],[0.001],0.29,,,,,,,,0.0,0.0,,,87.14037304347826,,,
ASLC.JK,-0.0018356092066601664,,,-0.77,20534002227.0,,0.049690226472244095,167255180774.0,0.41368430085614444,5.76387557808818,1.610964871603512,67.66131398725304,0.07720069095678693,,12.542411291983981,0.0,32.77204761184749,,
ASLI.JK,-0.021667542488291135,,,-4.65,,,,,,,,0.0,0.0,,,0.0,,,
ASMI.JK,-0.0025110672306922085,[-0.04],[-0.002],-0.8,,,,303610036870.0,0.5525186541348611,-33.19639852286331,-9.881986856973741,-3.44060364500547,0.011324471230684408,,-19.963136763723522,0.0,5.665077700183441,9.064071799870845,
ASPI.JK,-0.0002378998113597622,[-0.34],[-0.],-0.09,,,,,,,,0.0,0.0,,,0.0,,,
ASRI.JK,0.000566092685355918,[0.053],[0.001],0.34,,,,2440958294000.0,0.5578164709570571,-50.3656028795689,-52.30217154134952,-3.0017874090730157,0.6875606976524191,,-11.066481112394422,26.751592356687897,,,
ASRM.JK,0.00021950598549345113,[0.025],[0.],0.17,65545412374.0,,0.04321971031847805,1331077690426.0,0.6682094816423361,-16.00325190123434,215.40867207608682,7.149201492946579,0.018455909279623442,,13.026779588013323,52.434312337662334,,,
ASSA.JK,0.001454612357535438,[0.067],[0.001],0.61,87147720192.0,,0.01685350766856731,2950211647775.0,0.7216497553428649,-40.304576509613796,23.609973592289247,32.82511083591836,3.1636149487721457,,6.789497858458563,4.405749548387097,26.61559171835891,,
ATAP.JK,-4.0895201368335235e-05,,,-0.01,,,,,,,,0.0,0.0,,,2.3200000000000003,,,
ATIC.JK,3.692265587772722e-05,[-0.136],[0.],0.01,,,,6750548911506.0,0.9179954047917397,-4.855249003068239,-265.6253268126771,-1.4230570726660081,15.136764081592556,,-410.92036931699437,7.142857142857142,,,
AUTO.JK,0.0013101071061401776,[-0.065],[0.001],0.97,2245000000.0,,0.0001478910473149903,11866976000000.0,0.25752824719003714,-21.663905803607168,0.4657937347659514,4787.526824766147,0.04340512635414836,,0.02181074240755427,53.489611210762334,,,
AVIA.JK,-0.0005315892339987696,,,-0.36,1136147153567.0,,0.19352231283003038,4595113529677.0,0.20205645994763977,-15.46368026688131,18.348955641279705,29.974457988369824,0.006812061358637361,,24.252645546230674,7.2727272727272725,,,
AWAN.JK,0.005752929467478015,,,1.46,,,,,,,,0.0,0.0,,,0.0,,,
AXIO.JK,0.0011530654362704568,,,0.42,,,,,,,,0.0,0.0,,,7.352941176470589,,,
AYAM.JK,-0.0013714519693442588,,,-0.5,,,,,,,,0.0,0.0,,,0.0,,,
AYLS.JK,0.0012481030575967021,[-0.161],[0.001],0.38,,,,,,,,0.0,0.0,,,0.0,,,
BABP.JK,0.0010922302782442619,[0.048],[0.001],0.36,10414000000.0,930355000000.0,0.0008936828107397092,543409000000.0,0.8668797923676365,-2.4153746667582916,0.2366049152175493,211.32274430574228,0.48229124981418053,950634000000.0,0.6713351989412321,19.527682000000002,,3.689134485797315,
BABY.JK,-0.0033507822717981682,,,-0.97,,,,,,,,0.0,0.0,,,0.0,,,
BACA.JK,-0.0007838593730216432,[0.055],[-0.001],-0.37,61414000000.0,,0.003036755451241567,300048000000.0,0.9188871216429868,-20.18045750349454,3.0779330737776767,42.236136031523756,0.6325656599091314,-197534000000.0,3.743863505712967,0.0,,0.04546606756402811,
BAIK.JK,,,,,,,,,,,,0.0,0.0,,,0.0,,,
BAJA.JK,0.0017620485747649435,[0.151],[0.002],0.62,55118520227.0,,0.0725247040826524,1149836260730.0,0.8295320218027628,-12.334202063361714,30.621400126111112,3.167719294366534,2.720057290564111,,42.54447365987931,3.2474226804123707,,,
BALI.JK,0.0007983330578403055,[-0.02],[0.001],0.38,84397633086.0,,0.01814245960332237,694498466049.0,0.531411811802105,-17.71933352041532,21.45017247428786,72.26049123185241,1.1963265685145366,,3.871656008660726,6.483225806451613,8.50854426148829,,
BANK.JK,0.003923827226202029,,,1.33,44868000000.0,7769000000.0,0.06219598917101125,,0.11106644468995575,-25.578909868186678,3.06854791014538,350.32856956405453,0.05147409757451573,20486000000.0,6.996697199636973,0.0,100.0,,
