,Average Daily Returns,Beta Alpha,Sharpe Ratio,Piotroski F-Score,Revenue Growth,Earning per Share,Price to Earning,Debt to Equity,Free Cash Flow,Return on Equity,Dividend Yield
ARGO.JK,0.00027472525092486473,"{'beta': array([-0.023]), 'alpha': array([0.])}",0.26,,-18.805649823040174,-22.86936669197951,-41.7589176325957,-0.456569653645555,,5.778436244224677,0.0
ARII.JK,-6.640575546038686e-05,"{'beta': array([-0.092]), 'alpha': array([-0.])}",-0.02,,-63.44846719378554,-0.00406441263185007,-69382.7191142345,3.0194632655772553,,-46.31659359638634,0.0
ARKA.JK,-0.001980882557073677,"{'beta': array([-0.179]), 'alpha': array([-0.002])}",-0.99,,14.529070349384757,-15.299810947,-3.2680142371173577,2.5263558591963142,,-33.42168150395064,0.0
ARKO.JK,0.003334810870083963,,1.56,,-73.74201611670668,-7.726990501712035,-150.77021250923966,4.2441876162668,,-18.786472581297346,0.0
ARMY.JK,0.0,"{'beta': array([0.]), 'alpha': array([0.])}",,,,,0.0,0.0,,1.4678554069005911,0.0
ARNA.JK,0.0007930252013955145,"{'beta': array([-0.029]), 'alpha': array([0.001])}",0.73,,-13.430660441213654,44.63614820381778,15.906390416081486,0.13471711970805292,,25.156045491753854,33.97007042253521
ARTA.JK,0.0031582388575804514,"{'beta': array([-0.141]), 'alpha': array([0.003])}",1.14,,,,0.0,0.0,,,3.6996336996337
ARTI.JK,-0.0025608817242834996,"{'beta': array([0.067]), 'alpha': array([-0.003])}",-1.67,,445.8091804833057,-485.7146998380102,-0.008235287096178132,0.5284489733431219,,-2656.2844443948516,10.9093
ARTO.JK,0.0017599344452161358,"{'beta': array([-0.005]), 'alpha': array([0.002])}",0.63,3,-89.15866528796757,-13.681023973234197,-203.20116428703307,0.04558670413922211,-125734000000.0,-15.382773974242353,0.0
ASBI.JK,0.0015668772127960917,"{'beta': array([-0.049]), 'alpha': array([0.002])}",0.66,,,,0.0,0.0,,,24.93721369127517
ASDM.JK,0.00018158825947177016,"{'beta': array([0.004]), 'alpha': array([0.])}",0.18,,2.817252231939648,69.80368229166666,7.1342941181693575,0.013741887511850803,,7.563174927677668,102.25903614457832
ASGR.JK,0.0004065760078462194,"{'beta': array([-0.017]), 'alpha': array([0.])}",0.48,,1.5084697213335132,35.426829331945505,23.85197930309943,0.019610000944474376,,3.0575758235035906,120.4733727810651
ASHA.JK,-0.0010487944392329734,,-0.32,,,,0.0,0.0,,,0.0
ASII.JK,0.0002898677105266203,"{'beta': array([0.049]), 'alpha': array([0.])}",0.25,,-25.029016853331047,399.27280835671615,12.898449111012125,0.599439822247896,,10.384037208824246,67.29184466019417
ASJT.JK,0.0006087831766645673,"{'beta': array([0.027]), 'alpha': array([0.001])}",0.29,,,,0.0,0.0,,,84.92493983050848
ASLC.JK,-0.0018356092066601664,,-0.77,,5.76387557808818,1.610964871603512,68.90280598701915,0.07720069095678693,,12.542411291983981,0.0
ASLI.JK,-0.021667542488291135,,-4.65,,,,0.0,0.0,,,0.0
